date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:22	13757/13757	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f667e53d5752ee2e5759f3dfaf20d330%22	https://validdatum.com/hs/hsstatic/content-cwv-embed/static-1.1293/embed.js	./validdatum-copy/validdatum.com/hs/hsstatic/content-cwv-embed/static-1.1293/embed.js	(from https://validdatum.com/)
12:13:24	13945/13945	---MCZ	200	added ('OK')	application/javascript	etag:W/%2203f52b09f36de0c31a2655f68d88606b%22	https://validdatum.com/hs-fs/hub/44658282/hub_generated/template_assets/154819526004/1706572065034/validDatum-theme/vendor/aos/aos.min.js	./validdatum-copy/validdatum.com/hs-fs/hub/44658282/hub_generated/template_assets/154819526004/1706572065034/validDatum-theme/vendor/aos/aos.min.js	(from https://validdatum.com/)
12:13:24	3680/3680	---MCZ	200	added ('OK')	application/javascript	etag:W/%229f2e52fd74a3e69904ed7a9d999ec9e4%22	https://validdatum.com/hs-fs/hub/44658282/hub_generated/template_assets/154821453428/1706572072696/validDatum-theme/js/main.min.js	./validdatum-copy/validdatum.com/hs-fs/hub/44658282/hub_generated/template_assets/154821453428/1706572072696/validDatum-theme/js/main.min.js	(from https://validdatum.com/)
12:13:25	1243/1243	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ca66de658cab9587e4636894680d5d%22	https://validdatum.com/hs/hsstatic/cos-i18n/static-1.53/bundles/project.js	./validdatum-copy/validdatum.com/hs/hsstatic/cos-i18n/static-1.53/bundles/project.js	(from https://validdatum.com/)
12:13:27	666/666	---MCZ	200	added ('OK')	application/javascript	etag:W/%22395453f781487b0473462439c54dbfa2%22	https://validdatum.com/hs-fs/hub/44658282/hub_generated/module_assets/154819525919/1706567285769/module_154819525919_background-overlay.min.js	./validdatum-copy/validdatum.com/hs-fs/hub/44658282/hub_generated/module_assets/154819525919/1706567285769/module_154819525919_background-overlay.min.js	(from https://validdatum.com/)
12:13:27	2049/2049	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Jan%202025%2018:13:27%20GMT	https://validdatum.com/hs/scriptloader/44658282.js	./validdatum-copy/validdatum.com/hs/scriptloader/44658282.js	(from https://validdatum.com/)
12:13:28	11891/11891	---MCZ	200	added ('OK')	application/javascript	etag:W/%2238c48c0bdf3aa4294312a4e7c912393a%22	https://validdatum.com/hs/hsstatic/HubspotToolsMenu/static-1.393/js/index.js	./validdatum-copy/validdatum.com/hs/hsstatic/HubspotToolsMenu/static-1.393/js/index.js	(from https://validdatum.com/)
12:13:30	6036/6036	---MCZ	200	added ('OK')	text/css	etag:W/%22eedb3eb1176c6dfb9682abbc59a6f6fb%22	https://validdatum.com/hs-fs/hub/44658282/hub_generated/module_assets/154819525971/1706567323758/module_154819525971_featured-form.min.css	./validdatum-copy/validdatum.com/hs-fs/hub/44658282/hub_generated/module_assets/154819525971/1706567323758/module_154819525971_featured-form.min.css	(from https://validdatum.com/contact)
12:13:31	1354/1354	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a5e7123390355f8a02200a8285b01830%22	https://validdatum.com/hs-fs/hub/44658282/hub_generated/module_assets/154819525971/1706567323078/module_154819525971_featured-form.min.js	./validdatum-copy/validdatum.com/hs-fs/hub/44658282/hub_generated/module_assets/154819525971/1706567323078/module_154819525971_featured-form.min.js	(from https://validdatum.com/contact)
12:13:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202025%2018:13:32%20GMT	http://validdatum.com/robots.txt		(from https://validdatum.com/)
12:13:33	496336/496336	---MCZ	200	added ('OK')	application/javascript	etag:W/%22558de7b20c531aa81c999732b3c69474%22	https://validdatum.com/_hcms/forms/v2.js	./validdatum-copy/validdatum.com/_hcms/forms/v2.js	(from https://validdatum.com/contact)
